question,refined_correct_options,refined_incorrect_options
If one is eating healthier and exercising what is likely to happen?,"['increased energy levels', 'sustained weight management', 'long-term health improvements']","['temporary weight loss', 'increased food cravings', 'muscle fatigue without progress', 'short-term mood elevation']"
"What do you do when you pray, even if you are paralyzed?","['visualize divine presence', 'focus on inner peace', 'express heartfelt intentions']","['join group prayers', 'perform physical rituals', 'recite prayers aloud', 'wait for divine signs']"
What is an object that is not used in a common room likely to be?,"['personal item', 'specialized tool', 'private device']","['shared accessory', 'communal fixture', 'general equipment', 'collaborative utility']"
Where could you find hundreds of thousands of mailbox?,"['urban distribution center', 'major shipping hub', 'national mail processing center']","['community bulletin board', 'local coffee shop', 'small town post office', 'neighborhood grocery store']"
Where might you need to visit a registry office before entering?,"['legal venue', 'marriage application', 'property registration']","['community event', 'public library', 'local café', 'cultural festival']"
"Helium, magnesium, and sulfur are likely to be found where in a school?","['science lab', 'demonstration area', 'materials workshop']","['air supply', 'art studio', 'physical education', 'computer room']"
James went into his office at city hall.  What type of building is this?,"['government facility', 'municipal administrative hub', 'civic engagement space']","['corporate headquarters', 'public library', 'community center', 'cultural museum']"
Where would you put a candle if you wanted it on a wall?,"['wall sconce', 'mounted holder', 'adhesive hook']","['fireplace shelf', 'dining table', 'floor space', 'garden trellis']"
What does a town make up a small part of?,"['state', 'region', 'local government']","['rural community', 'economic hub', 'urban center', 'cultural event']"
"The building was ready for flooring, and that's where the flooring who came in to the picture?","['installation teams', 'surface crews', 'material specialists']","['construction workers', 'project supervisors', 'design architects', 'renovation teams']"
Which side of Africa is the Indian Ocean on?,"['navigate from subcontinent', 'trace coastline southward', 'analyze historical trade routes']","['consider Atlantic influence', 'evaluate Mediterranean position', 'assess Arctic relevance', 'trace Nile direction']"
"The group was great at communicating, their quality worked showed how well their what went?","['collaborative efforts', 'synchronized actions', 'collective strategies']","['individual tasks', 'disorganized plans', 'static discussions', 'isolated achievements']"
What will you do if you do not turn and you do not move either?,"['maintain balance', 'control posture', 'sustain equilibrium']","['shift weight', 'adjust stance', 'lean forward', 'rotate torso']"
Where can you find millions of apartment?,"['real estate platforms', 'high-demand cities', 'property management firms']","['rural campgrounds', 'temporary shelters', 'local coffee shops', 'single-family listings']"
What could guns do which could be illegal?,"['facilitate organized crime', 'provoke public violence', 'support unlawful militias']","['distract from real issues', 'enhance personal safety', 'promote community engagement', 'increase property desirability']"
What are all living things that have at least one nerve called?,"['multicellular organism', 'neural life form', 'sensory entity']","['vertebrate limbs', 'brain structures', 'animal appendages', 'nervous tissue']"
"People are meeting people, what is the likely physical gesture?","['offering a handshake', 'leaning in slightly', 'extending a fist bump']","['gesturing from afar', 'maintaining a distance', 'smiling without engagement', 'standing with arms folded']"
Where can you look up a number to a business when you don't have electricity?,"['community bulletin postings', 'physical business card collection', 'manual search through newspapers']","['library databases', 'internet cafe', 'smartphone apps', 'neighborhood chat groups']"
"Like all mammals, cats smell with what?","['olfactory receptors', 'chemical detection', 'sensory processing']","['vocal cords', 'tail signaling', 'ear vibrations', 'fur insulation']"
A lot of people who wrestle are very?,"['disciplined in training', 'strategic in movements', 'focused on weight management']","['physically intimidating', 'relying on experience', 'practicing infrequently', 'using brute strength']"
Billy was smart but inexperienced.  In many ways he was what?,"['new to practical application', 'lacking hands-on skills', 'unseasoned in problem-solving']","['theoretical expert', 'overly confident', 'knowledgeable in concepts', 'adept at memorization']"
"In a barbershop, what is the most important tool the barber uses?","['precision clippers', 'hair thinning shears', 'shaving cream application']","['customer chair adjustment', 'mirror positioning', 'water usage', 'product marketing']"
"The man loved to fish bass, to be happy all he needed was a boat, his equipment, and a what?","['fishing companion', 'local fishing guide', 'suitable fishing spot']","['ocean fishing trip', 'fishing gear store', 'fishing competition', 'fishing documentary']"
"The person was trying to describe what makes a good movie, he liked all the little what?","['character nuances', 'unexpected humor', 'thematic layers']","['audience reactions', 'famous actors', 'length considerations', 'color palettes']"
Who keeps their car in a parking area?,"['residents using spaces', 'commuters using lots', 'drivers at events']","['tourists at terminals', 'shoppers in zones', 'students on campus', 'service workers nearby']"
"A battleship is a powerful vessel.  If you need something similar but faster, what would you use?","['guided missile frigate', 'fast attack craft', 'stealth missile boat']","['luxury yacht', 'cargo vessel', 'historical vessel', 'submersible ship']"
"She loved the music so much, how did she describe it?","['soul-stirring melody', 'emotionally resonant piece', 'captivating performance']","['silent ambiance', 'distracting rhythm', 'emotionally detached tune', 'predictable beat']"
The toilet were somewhat built into the suits of the zero gravity travelers on the what?,"['orbital station', 'crew transport', 'interstellar craft']","['commercial vessel', 'outdoor festival', 'research facility', 'deep-sea station']"
What could cause you to not be sleeping well?,"['nightmares', 'pre-bed anxiety', 'evening caffeine']","['noisy gatherings', 'active entertainment', 'heavy late meals', 'morning workouts']"
"Sarah wasn't a good person. She was always away, always busy, never there. Her wife wanted her to be more what?","['emotionally available', 'invested in moments', 'supportive during struggles']","['financially stable', 'physically present', 'focused on career', 'socially active']"
